


Run Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 06/29/2018, INTEREST EARNED, QHMAQ, FDIC INSURED DEPOSIT AT DISCOVER BANK I,Cash,,,,,,0.56,
 06/20/2018, YOU SOLD, TXMD, THERAPEUTICSMD INC COM USD0.001,Cash,-100,7.22, 4.95,0.01,,717.54, 06/22/2018
 06/18/2018, ASSIGNED as of 06/15/2018, -TXMD180615P10, PUT (TXMD) THERAPEUTICSMD INC JUN 15 18 $10 (100 SHS),Cash,1,,,,,, 
 06/18/2018, ASSIGNED as of 06/15/2018, -SLCA180615P31, PUT (SLCA) U S SILICA HLDGS INC JUN 15 18 $31 (100 SHS),Cash,1,,,,,, 
 06/18/2018, YOU BOUGHT           ASSIGNED PUTS       AS OF 06-15-18, SLCA, U S SILICA HLDGS INC COM USD0.01,Cash,100,31, 4.95,,,-3104.95, 06/19/2018
 06/18/2018, YOU BOUGHT           ASSIGNED PUTS       AS OF 06-15-18, TXMD, THERAPEUTICSMD INC COM USD0.001,Cash,100,10, 4.95,,,-1004.95, 06/19/2018
 06/12/2018, YOU BOUGHT           OPENING TRANSACTION, -TXMD180720C8, CALL (TXMD) THERAPEUTICSMD INC JUL 20 18 $8 (100 SHS),Cash,5,0.24, 6,0.19,,-126.19, 06/13/2018
 06/12/2018, YOU SOLD             OPENING TRANSACTION, -TXMD180720P8, PUT (TXMD) THERAPEUTICSMD INC JUL 20 18 $8 (100 SHS),Cash,-1,1.02, 5.1,0.05,,96.85, 06/13/2018
 06/08/2018, YOU BOUGHT           OPENING TRANSACTION, -SLCA180720C30, CALL (SLCA) U S SILICA HLDGS INC JUL 20 18 $30 (100 SHS),Cash,1,1.51, 5.6,0.04,,-156.64, 06/11/2018
 06/08/2018, YOU SOLD             OPENING TRANSACTION, -SLCA180615P31, PUT (SLCA) U S SILICA HLDGS INC JUN 15 18 $31 (100 SHS),Cash,-1,1.6, 5.6,0.05,,154.35, 06/11/2018
 06/04/2018, YOU SOLD, AVGR, AVINGER INC COM NEW,Cash,-100,1.68, 4.95,0.01,,163.04, 06/06/2018
 06/04/2018, CONTRIBUTION         VS X69-953898-1     SEP CONTRIBUTION, , No Description,Cash,,,,,,3000, 
 05/31/2018, INTEREST EARNED, QHMAQ, FDIC INSURED DEPOSIT AT DISCOVER BANK I,Cash,,,,,,0.24, 
 05/25/2018, REVERSE SPLIT        R/S FROM   315721308#REOR M0051125500001, FCSC, FIBROCELL SCIENCE INC COM PAR,Cash,120,,,,,, 
 05/25/2018, REVERSE SPLIT        R/S TO     315721407#REOR M0051125500000, 315721308, FIBROCELL SCIENCE INC COM PAR 1 FOR 5 R,Cash,-600,,,,,, 
 05/25/2018, YOU SOLD, VTGN, VISTAGEN THERAPEUTICS INC COM NEW,Cash,-500,1.48, 4.95,0.01,,732.59, 05/30/2018
 05/23/2018, YOU SOLD             OPENING TRANSACTION, -TXMD180615P10, PUT (TXMD) THERAPEUTICSMD INC JUN 15 18 $10 (100 SHS),Cash,-1,4, 5.6,0.05,,394.35, 05/24/2018
 05/21/2018, YOU BOUGHT, SYNC, SYNACOR INC COM,Cash,100,1.94, 4.95,,,-198.5, 05/23/2018
 05/18/2018, YOU BOUGHT, 315721308, FIBROCELL SCIENCE INC COM PAR 1 FOR 5 R,Cash,500,0.82, 4.95,,,-413.75, 05/22/2018
 05/16/2018, YOU SOLD             CLOSING TRANSACTION, -TNDM181116C15, CALL (TNDM) TANDEM DIABETES CARE NOV 16 18 $15 (100 SHS),Cash,-5,1.42, 8.2,0.21,,701.59, 05/17/2018
 05/04/2018, YOU BOUGHT, 45790J305, INPIXON COM NEW 1 FOR 40 R/S INTO INPIX,Cash,300,0.35, 4.95,,,-109.95, 05/08/2018
 05/04/2018, YOU BOUGHT           CLOSING TRANSACTION, -TNDM180518P10, PUT (TNDM) TANDEM DIABETES CARE MAY 18 18 $10 (100 SHS),Cash,2,2.3, 6.25,0.08,,-466.33, 05/07/2018
 05/04/2018, YOU BOUGHT           CLOSING TRANSACTION, -SRNE180518P7.5, PUT (SRNE) SORRENTO MAY 18 18 $7.5 (100 SHS),Cash,1,1.17, 5.6,0.04,,-122.64, 05/07/2018
 05/04/2018, YOU SOLD, 286221106, ELEVEN BIOTHERAPEUTICS INC COM,Cash,-200,3.12, 4.95,0.02,,619.27, 05/08/2018
 05/04/2018, EARLY DIST NO EXCEPT EARLY DST/NO EXCP APWD55094337, , No Description,Cash,,,,,,-2262.99, 
 05/03/2018, YOU BOUGHT           OPENING TRANSACTION, -TNDM181116C15, CALL (TNDM) TANDEM DIABETES CARE NOV 16 18 $15 (100 SHS),Cash,5,0.6, 8.2,0.19,,-308.39, 05/04/2018
 04/30/2018, INTEREST EARNED, QHMAQ, FDIC INSURED DEPOSIT AT DISCOVER BANK I,Cash,,,,,,0.35, 
