Symbol(CUSIP),Security Description,Quantity,Date Acquired,Date Sold,Proceeds,Cost Basis,Short Term Gain/Loss,Long Term Gain/Loss
ADMS170915P17.5(3109379RR),"PUT (ADMS) ADAMAS SEP 15 17 $17.5 (100 SHS)",1.00000,08/17/2017,08/25/2017,"$444.34 ","$54.99 ","$389.35 ",-
ATVI(00507V109),"ACTIVISION BLIZZARD INC COM USD0.000001",100.00000,11/03/2017,11/08/2017,"$6411.91 ","$6457.60 ","($45.69)",-
ATVI(00507V109),"ACTIVISION BLIZZARD INC COM USD0.000001",100.00000,08/04/2017,09/26/2017,"$6186.79 ","$6170.61 ","$16.18 ",-
ATVI170811C66(3316859KI),"CALL (ATVI) ACTIVISION BLIZZARD AUG 11 17 $66 (100 SHS)",2.00000,08/03/2017,08/11/2017,"$0.00 ","$312.33 ","($312.33)",-
ATVI170811C66(3316859KI),"CALL (ATVI) ACTIVISION BLIZZARD AUG 11 17 $66 (100 SHS)",8.00000,08/04/2017,08/11/2017,"$0.00 ","$69.28 ","($69.28)",-
ATVI170901C64.5(3361549GE),"CALL (ATVI) ACTIVISION BLIZZARD SEP 01 17 $64.5 (100 SHS)",1.00000,08/30/2017,08/30/2017,"$94.95 ","$118.64 ","($23.69)",-
ATVI170915C65.5(3361559UU),"CALL (ATVI) ACTIVISION BLIZZARD SEP 15 17 $65.5 (100 SHS)",1.00000,09/01/2017,09/12/2017,"$103.50 ","$78.99 ","$24.51 ",-
ATVI171117P75(3252559AU),"PUT (ATVI) ACTIVISION BLIZZARD NOV 17 17 $75 (100 SHS)",1.00000,08/03/2017,10/25/2017,"$1299.32 ","$1347.64 ","($48.32)",-
AXON170915P25(3134359LL),"PUT (AXON) AXOVANT SCIENCES LTDSEP 15 17 $25 (100 SHS)",1.00000,08/02/2017,09/15/2017,"$620.34 ","$495.64 ","$124.70 ",-
AXON171020C40(3380249JF),"CALL (AXON) AXOVANT SCIENCES LTDOCT 20 17 $40 (100 SHS)",1.00000,09/25/2017,10/20/2017,"$0.00 ","$699.64 ","($699.64)",-
AXON171020P7.5(3105939XT),"PUT (AXON) AXOVANT SCIENCES LTDOCT 20 17 $7.5 (100 SHS)",1.00000,09/25/2017,10/18/2017,"$154.35 ","$90.17 ","$64.18 ",-
AXON171020P7.5(3105939XT),"PUT (AXON) AXOVANT SCIENCES LTDOCT 20 17 $7.5 (100 SHS)",1.00000,09/25/2017,10/18/2017,"$153.35 ","$90.16 ","$63.19 ",-
BAH170721P30(3255319XV),"PUT (BAH) BOOZ ALLEN HAMILTON JUL 21 17 $30 (100 SHS)",1.00000,06/19/2017,07/21/2017,"$0.00 ","$84.99 ","($84.99)",-
BAH170721P30(3255319XV),"PUT (BAH) BOOZ ALLEN HAMILTON JUL 21 17 $30 (100 SHS)",1.00000,06/19/2017,07/21/2017,"$0.00 ","$69.99 ","($69.99)",-
BAH170721P30(3255319XV),"PUT (BAH) BOOZ ALLEN HAMILTON JUL 21 17 $30 (100 SHS)",2.00000,06/20/2017,07/21/2017,"$0.00 ","$115.59 ","($115.59)",-
CME180119P185(3476189IG),"PUT (CME) CME GROUP INC COM CLJAN 19 18 $185 (100 SHS)",1.00000,12/01/2017,12/08/2017,"$3810.27 ","$3605.64 ","$204.63 ",-
CRM170616C85(3016979CU),"CALL (CRM) SALESFORCE COM INC JUN 16 17 $85 (100 SHS)",1.00000,04/28/2017,05/12/2017,"$577.64 ","$400.64 ","$177.00 ",-
CRM170616C85(3016979CU),"CALL (CRM) SALESFORCE COM INC JUN 16 17 $85 (100 SHS)",1.00000,04/28/2017,05/12/2017,"$577.64 ","$400.64 ","$177.00 ",-
CRM170616C85(3016979CU),"CALL (CRM) SALESFORCE COM INC JUN 16 17 $85 (100 SHS)",1.00000,04/28/2017,05/12/2017,"$577.65 ","$400.64 ","$177.01 ",-
CVNA(146869102),"CARVANA CO CL A",100.00000,10/20/2017,11/07/2017,"$1503.02 ","$1570.60 ","($67.58)",-
CVNA171215P18(3438749NL),"PUT (CVNA) CARVANA CO CL A DEC 15 17 $18 (100 SHS)",1.00000,11/01/2017,11/02/2017,"$494.34 ","$490.64 ","$3.70 ",-
DPW(26140E105),"DPW HLDGS INC COM",615.00000,12/07/2017,12/22/2017,"$2479.59 ","$4025.61 ","($1546.02)",-
,,,,Wash Sale,"$0.00 ","($1546.02)","$1546.02 ",-
DPW(26140E105),"DPW HLDGS INC COM",885.00000,12/07/2017,12/22/2017,"$3566.46 ","$5747.96 ","($2181.50)",-
,,,,Wash Sale,"$0.00 ","($2181.50)","$2181.50 ",-
DPW(26140E105),"DPW HLDGS INC COM",100.00000,12/07/2017,12/22/2017,"$402.99 ","$645.08 ","($242.09)",-
,,,,Wash Sale,"$0.00 ","($242.09)","$242.09 ",-
DPW(26140E105),"DPW HLDGS INC COM",300.00000,12/07/2017,12/22/2017,"$1208.97 ","$1938.66 ","($729.69)",-
,,,,Wash Sale,"$0.00 ","($36.48)","$36.48 ",-
DPW(26140E105),"DPW HLDGS INC COM",1000.00000,12/07/2017,12/22/2017,"$4029.91 ","$6050.66 ","($2020.75)",-
DPW(26140E105),"DPW HLDGS INC COM",200.00000,12/13/2017,12/22/2017,"$805.98 ","$1146.72 ","($340.74)",-
DPW(26140E105),"DPW HLDGS INC COM",615.00000,12/07/2017,12/22/2017,"$2478.39 ","$4747.06 ","($2268.67)",-
DPW(26140E105),"DPW HLDGS INC COM",185.00000,12/13/2017,12/22/2017,"$745.54 ","$962.92 ","($217.38)",-
DPW(26140E105),"DPW HLDGS INC COM",3000.00000,12/07/2017,12/13/2017,"$15294.84 ","$18131.97 ","($2837.13)",-
,,,,Wash Sale,"$0.00 ","($2837.13)","$2837.13 ",-
