Symbol(CUSIP),Security Description,Quantity,Date Acquired,Date Sold,Proceeds,Cost Basis,Short Term Gain/Loss,Long Term Gain/Loss
AAPL(037833100),"APPLE INC COM USD0.00001",75.00000,11/12/2018,11/13/2018,"$14411.65 ","$16337.70 ","($1926.05)",-
AAPL181207C220(3928189CU),"CALL (AAPL) APPLE INC DEC 07 18 $220 (100 SHS)",1.00000,11/01/2018,12/07/2018,"$0.00 ","$1034.68 ","($1034.68)",-
AAPL181207C220(3928189CU),"CALL (AAPL) APPLE INC DEC 07 18 $220 (100 SHS)",9.00000,11/05/2018,12/07/2018,"$0.00 ","$1136.11 ","($1136.11)",-
ACB181116P7.5(3936819WS),"PUT (ACB) AURORA CANNABIS INC NOV 16 18 $7.5 (100 SHS)",10.00000,11/12/2018,11/13/2018,"$838.19 ","$811.79 ","$26.40 ",-
CRM181221P140(3904549XZ),"PUT (CRM) SALESFORCE COM INC DEC 21 18 $140 (100 SHS)",1.00000,12/17/2018,12/19/2018,"$599.36 ","$545.63 ","$53.73 ",-
GH(40131M109),"GUARDANT HEALTH INC COM",100.00000,10/17/2018,11/13/2018,"$3779.00 ","$3978.25 ","($199.25)",-
LFIN180921C17.5(3652029IC),"CALL (LFIN) LONGFIN CORP COM SEP 21 18 $17.5 (100 SHS)",1.00000,03/29/2018,09/21/2018,"$0.00 ","$465.64 ","($465.64)",-
LFIN180921C70(3633429QQ),"CALL (LFIN) LONGFIN CORP COM SEP 21 18 $70 (100 SHS)",10.00000,03/28/2018,09/21/2018,"$0.00 ","$861.83 ","($861.83)",-
LFIN180921C80(3645009IG),"CALL (LFIN) LONGFIN CORP COM SEP 21 18 $80 (100 SHS)",10.00000,03/28/2018,09/21/2018,"$0.00 ","$661.83 ","($661.83)",-
LULU181221P135(3686479UQ),"PUT (LULU) LULULEMON ATHLETICA DEC 21 18 $135 (100 SHS)",1.00000,12/12/2018,12/12/2018,"$1254.35 ","$1265.63 ","($11.28)",-
NIO(62914V106),"NIO INC SPON ADS EACH REP 1 ORD SHS CLASS A",100.00000,09/17/2018,11/20/2018,"$778.66 ","$874.95 ","($96.29)",-
NIO(62914V106),"NIO INC SPON ADS EACH REP 1 ORD SHS CLASS A",500.00000,10/19/2018,11/20/2018,"$3893.32 ","$3763.35 ","$129.97 ",-
NUGT(25460E844),"DIREXION SHS ETF TR DLY GOLD INDX 3X",200.00000,11/13/2018,12/12/2018,"$3226.65 ","$3085.63 ","$141.02 ",-
NUGT(25460E844),"DIREXION SHS ETF TR DLY GOLD INDX 3X",100.00000,11/16/2018,12/12/2018,"$1613.33 ","$1545.29 ","$68.04 ",-
NUGT181214C16(3941059UO),"CALL (NUGT) DIREXION SHS ETF TR DEC 14 18 $16 (100 SHS)",3.00000,12/07/2018,12/12/2018,"$187.99 ","$152.05 ","$35.94 ",-
NUGT190118C18(3827209CY),"CALL (NUGT) DIREXION SHS ETF TR JAN 18 19 $18 (100 SHS)",1.00000,10/18/2018,12/26/2018,"$164.36 ","$209.68 ","($45.32)",-
,,,,Wash Sale,"$0.00 ","($45.32)","$45.32 ",-
NUGT190118C18(3827209CY),"CALL (NUGT) DIREXION SHS ETF TR JAN 18 19 $18 (100 SHS)",9.00000,10/18/2018,12/26/2018,"$1487.82 ","$1887.16 ","($399.34)",-
NUGT190118C18(3827209CY),"CALL (NUGT) DIREXION SHS ETF TR JAN 18 19 $18 (100 SHS)",8.00000,10/18/2018,12/26/2018,"$1322.51 ","$1597.47 ","($274.96)",-
NUGT190118C18(3827209CY),"CALL (NUGT) DIREXION SHS ETF TR JAN 18 19 $18 (100 SHS)",2.00000,10/18/2018,12/26/2018,"$330.63 ","$403.37 ","($72.74)",-
NUGT190118C18(3827209CY),"CALL (NUGT) DIREXION SHS ETF TR JAN 18 19 $18 (100 SHS)",1.00000,10/18/2018,12/26/2018,"$165.31 ","$104.50 ","$60.81 ",-
NUGT190118C18(3827209CY),"CALL (NUGT) DIREXION SHS ETF TR JAN 18 19 $18 (100 SHS)",9.00000,12/19/2018,12/26/2018,"$1487.82 ","$532.61 ","$955.21 ",-
NVDA181116P205(3789609QM),"PUT (NVDA) NVIDIA CORP NOV 16 18 $205 (100 SHS)",1.00000,11/12/2018,11/13/2018,"$1194.35 ","$1355.63 ","($161.28)",-
SQ181221C120(3851359OK),"CALL (SQ) SQUARE INC CL A DEC 21 18 $120 (100 SHS)",10.00000,09/28/2018,12/21/2018,"$0.00 ","$3326.84 ","($3326.84)",-
SQ181221C120(3851359OK),"CALL (SQ) SQUARE INC CL A DEC 21 18 $120 (100 SHS)",10.00000,10/09/2018,12/21/2018,"$0.00 ","$1421.79 ","($1421.79)",-
SQ181221C120(3851359OK),"CALL (SQ) SQUARE INC CL A DEC 21 18 $120 (100 SHS)",80.00000,11/07/2018,12/21/2018,"$0.00 ","$2299.69 ","($2299.69)",-
TNDM(875372203),"TANDEM DIABETES CAREINC COM NEW",100.00000,11/14/2018,12/28/2018,"$3685.80 ","$3680.59 ","$5.21 ",-
TNDM(875372203),"TANDEM DIABETES CAREINC COM NEW",100.00000,11/19/2018,12/28/2018,"$3685.80 ","$3900.63 ","($214.83)",-
TNDM(875372203),"TANDEM DIABETES CAREINC COM NEW",100.00000,12/21/2018,12/28/2018,"$3685.80 ","$3316.59 ","$369.21 ",-
TNDM181116C36(3789019PL),"CALL (TNDM) TANDEM DIABETES CARENOV 16 18 $36 (100 SHS)",1.00000,10/02/2018,11/16/2018,"$0.00 ","$470.68 ","($470.68)",-
TNDM181116C38(3789009SM),"CALL (TNDM) TANDEM DIABETES CARENOV 16 18 $38 (100 SHS)",1.00000,10/01/2018,11/16/2018,"$0.00 ","$725.63 ","($725.63)",-
TNDM181116P45(3819299OM),"PUT (TNDM) TANDEM DIABETES CARENOV 16 18 $45 (100 SHS)",1.00000,11/07/2018,11/09/2018,"$644.36 ","$645.63 ","($1.27)",-
