


Run Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 09/28/2018, INTEREST EARNED, QHMAQ, FDIC INSURED DEPOSIT AT DISCOVER BANK I,Cash,,,,,,1.78,
 09/24/2018, EXPIRED              CALL (URBN)         URBAN OUTFITTERS INC as of 09/21/2018, -URBN180921C47.5, CALL (URBN) URBAN OUTFITTERS INC SEP 21 18 $47.5 (100 SHS),Cash,-60,,,,,,
 09/24/2018, ASSIGNED as of 09/21/2018, -YRCW180921P11, PUT (YRCW) YRC WORLDWIDE INC SEP 21 18 $11 (100 SHS),Cash,5,,,,,,
 09/24/2018, EXPIRED              CALL (NEPT)         NEPTUNE WELLNESS as of 09/21/2018, -NEPT180921C5, CALL (NEPT) NEPTUNE WELLNESS SEP 21 18 $5 (100 SHS),Cash,-5,,,,,,
 09/24/2018, ASSIGNED as of 09/21/2018, -NEPT180921P5, PUT (NEPT) NEPTUNE WELLNESS SEP 21 18 $5 (100 SHS),Cash,5,,,,,,
 09/24/2018, EXPIRED              CALL (SRNE)         SORRENTO as of 09/21/2018, -SRNE180921C5, CALL (SRNE) SORRENTO SEP 21 18 $5 (100 SHS),Cash,-10,,,,,,
 09/24/2018, EXPIRED              PUT (TSLA)          TESLA INC COM as of 09/21/2018, -TSLA180921P255, PUT (TSLA) TESLA INC COM SEP 21 18 $255 (100 SHS),Cash,-1,,,,,,
 09/24/2018, EXPIRED              CALL (AAPL)         APPLE INC as of 09/21/2018, -AAPL180921C230, CALL (AAPL) APPLE INC SEP 21 18 $230 (100 SHS),Cash,-80,,,,,,
 09/24/2018, YOU BOUGHT           ASSIGNED PUTS       AS OF 09-21-18, YRCW, YRC WORLDWIDE INC COM PAR $.01,Cash,500,11, 4.95,,,-5504.95, 09/25/2018
 09/24/2018, YOU BOUGHT           ASSIGNED PUTS       AS OF 09-21-18, NEPT, NEPTUNE WELLNESS SOLUTIONS INC COM NPV ,Cash,500,5, 4.95,,,-2504.95, 09/25/2018
 09/21/2018, REVERSE SPLIT        R/S FROM   64065J106#REOR M0051144700001, NVCN, NEOVASC INC COM NPV (POST REV SPLIT) IS,Cash,10,,,,,, 
 09/21/2018, REVERSE SPLIT        R/S TO     64065J205#REOR M0051144700000, 64065J106, NEOVASC INC COM ISIN CA64065J1066 SEDOL,Cash,-1000,,,,,, 
 09/17/2018, EXPIRED              CALL (FB)           FACEBOOK INC COM as of 09/14/2018, -FB180914C185, CALL (FB) FACEBOOK INC COM SEP 14 18 $185 (100 SHS),Cash,-10,,,,,, 
 09/17/2018, YOU BOUGHT           OPENING TRANSACTION, -GDS190315C50, CALL (GDS) GDS HOLDINGS LTD MAR 15 19 $50 (100 SHS),Cash,5,1.7, 8.2,0.17,,-858.37, 09/18/2018
 09/14/2018, YOU BOUGHT           OPENING TRANSACTION, -TNDM190215C75, CALL (TNDM) TANDEM DIABETES CARE FEB 15 19 $75 (100 SHS),Cash,20,3.81, 13,0.69,,-7633.69, 09/17/2018
 09/14/2018, YOU SOLD             CLOSING TRANSACTION, -TNDM190215C60, CALL (TNDM) TANDEM DIABETES CARE FEB 15 19 $60 (100 SHS),Cash,-15,6.68, 14.7,0.65,,10004.65, 09/17/2018
 09/14/2018, YOU BOUGHT           OPENING TRANSACTION, -EXAS200117C110, CALL (EXAS) EXACT SCIENCES CORP JAN 17 20 $110 (100 SHS),Cash,3,7.2, 1.95,0.1,,-2162.05, 09/17/2018
 09/14/2018, YOU BOUGHT           OPENING TRANSACTION, -ATVI200117C120, CALL (ATVI) ACTIVISION BLIZZARD JAN 17 20 $120 (100 SHS),Cash,1,2.74, 0.65,0.03,,-274.68, 09/17/2018
 09/14/2018, YOU SOLD             CLOSING TRANSACTION, -EXAS200117C105, CALL (EXAS) EXACT SCIENCES CORP JAN 17 20 $105 (100 SHS),Cash,-3,8.21, 6.9,0.14,,2455.96, 09/17/2018
