Symbol(CUSIP),Security Description,Quantity,Date Acquired,Date Sold,Proceeds,Cost Basis,Short Term Gain/Loss,Long Term Gain/Loss
AAPL180727C195(3737919LF),"CALL (AAPL) APPLE INC JUL 27 18 $195 (100 SHS)",2.00000,07/26/2018,07/27/2018,"$9.91 ","$117.37 ","($107.46)",-
,,,,Wash Sale,"$0.00 ","($107.46)","$107.46 ",-
AAPL180727C195(3737919LF),"CALL (AAPL) APPLE INC JUL 27 18 $195 (100 SHS)",1.00000,07/26/2018,07/27/2018,"$3.31 ","$58.69 ","($55.38)",-
,,,,Wash Sale,"$0.00 ","($55.38)","$55.38 ",-
AAPL180727C195(3737919LF),"CALL (AAPL) APPLE INC JUL 27 18 $195 (100 SHS)",2.00000,07/26/2018,07/27/2018,"$6.62 ","$226.25 ","($219.63)",-
AAPL180727C195(3737919LF),"CALL (AAPL) APPLE INC JUL 27 18 $195 (100 SHS)",4.00000,07/26/2018,07/27/2018,"$19.84 ","$237.58 ","($217.74)",-
AAPL180727C195(3737919LF),"CALL (AAPL) APPLE INC JUL 27 18 $195 (100 SHS)",1.00000,07/26/2018,07/27/2018,"$4.96 ","$114.77 ","($109.81)",-
AAPL181019C215(3590869XT),"CALL (AAPL) APPLE INC OCT 19 18 $215 (100 SHS)",1.00000,07/24/2018,08/15/2018,"$412.36 ","$94.99 ","$317.37 ",-
ARNC200117C20(3391969DX),"CALL (ARNC) ARCONIC INC COM JAN 17 20 $20 (100 SHS)",5.00000,08/24/2018,10/10/2018,"$2116.60 ","$2158.37 ","($41.77)",-
ATVI180119C75(3252559XT),"CALL (ATVI) ACTIVISION BLIZZARD JAN 19 18 $75 (100 SHS)",3.00000,11/02/2017,01/19/2018,"$0.00 ","$235.02 ","($235.02)",-
AXON180615P7(3738229RP),"PUT (AXON) AXOVANT SCIENCES LTDJUN 15 18 $7 (100 SHS)",10.00000,06/07/2018,06/08/2018,"$1638.14 ","$2339.83 ","($701.69)",-
BE(093712107),"BLOOM ENERGY CORP COM CL A",100.00000,07/25/2018,08/07/2018,"$2760.15 ","$2317.95 ","$442.20 ",-
BE(093712107),"BLOOM ENERGY CORP COM CL A",100.00000,07/26/2018,08/07/2018,"$2760.15 ","$2135.37 ","$624.78 ",-
BE(093712107),"BLOOM ENERGY CORP COM CL A",100.00000,07/31/2018,08/07/2018,"$2760.16 ","$2375.73 ","$384.43 ",-
BOX(10316T104),"BOX INC CL A",1000.00000,04/23/2018,04/24/2018,"$22907.80 ","$23415.05 ","($507.25)",-
BOX(10316T104),"BOX INC CL A",100.00000,04/23/2018,04/24/2018,"$2290.78 ","$2289.73 ","$1.05 ",-
BOX(10316T104),"BOX INC CL A",400.00000,04/23/2018,04/24/2018,"$9163.12 ","$9168.95 ","($5.83)",-
BZUN180720C60(3619709JF),"CALL (BZUN) BAOZUN INC ADR EACH JUL 20 18 $60 (100 SHS)",1.00000,06/22/2018,07/12/2018,"$274.81 ","$475.69 ","($200.88)",-
BZUN180720C60(3619709JF),"CALL (BZUN) BAOZUN INC ADR EACH JUL 20 18 $60 (100 SHS)",5.00000,06/25/2018,07/12/2018,"$1374.07 ","$1008.39 ","$365.68 ",-
