Run Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 03/29/2018, INTEREST EARNED, QHMAQ, FDIC INSURED DEPOSIT AT DISCOVER BANK I,Cash,,,,,,0.14,
 03/29/2018, YOU BOUGHT, TNDM, TANDEM DIABETES CARE INC COM NEW,Cash,300,4.95,4.95,,,-1489.95, 04/03/2018
 03/29/2018, YOU BOUGHT, TNDM, TANDEM DIABETES CARE INC COM NEW,Cash,100,4.94,4.95,,,-498.85, 04/03/2018
 03/27/2018, YOU SOLD, TEUM, PARETEUM CORP COM NEW,Cash,-500,3.13,4.95,0.04,,1560.26, 03/29/2018
 03/26/2018, YOU SOLD, DXR, DAXOR CORP,Cash,-100,9.83,4.95,0.03,,978.09, 03/28/2018
 03/21/2018, YOU BOUGHT, AVGR, AVINGER INC COM NEW,Cash,100,1.22,4.95,,,-126.85, 03/23/2018
 03/15/2018, EARLY DIST NO EXCEPT VS X86-337692-1     CASH, , No Description,Cash,,,,,,-800, 
 03/13/2018, YOU BOUGHT, TNDM, TANDEM DIABETES CARE INC COM NEW,Cash,100,3.77,4.95,,,-381.95, 03/15/2018
 03/13/2018, YOU BOUGHT, SYNC, SYNACOR INC COM,Cash,100,2.13,4.95,,,-217.95, 03/15/2018
 03/13/2018, YOU BOUGHT, SPEX, SPHERIX INC COM PAR NEW,Cash,100,2.14,4.95,,,-219.44, 03/15/2018
 03/13/2018, YOU BOUGHT, SRNE, SORRENTO THERAPEUTICS INC COM NEW,Cash,100,7.6,4.95,,,-765.15, 03/15/2018
 03/13/2018, YOU BOUGHT,750459109, RADISYS CORP *CASH MERGER AT $1.72 PER ,Cash,100,0.8,4.95,,,-84.84, 03/15/2018
 03/13/2018, YOU BOUGHT, OHGI, ONE HORIZON GROUP INC COM,Cash,100,1.14,4.95,,,-119.28, 03/15/2018
 03/13/2018, YOU BOUGHT, 64065J106, NEOVASC INC COM ISIN CA64065J1066 SEDOL,Cash,1000,0.15,4.95,,,-157.95, 03/15/2018
 03/13/2018, YOU BOUGHT, NSPR, INSPIREMD INC COM USD0.0001,Cash,100,2.58,4.95,,,-262.87, 03/15/2018
 03/13/2018, YOU BOUGHT, FTFT, FUTURE FINTECH GROUP INC COM,Cash,100,2.8,4.95,,,-284.95, 03/15/2018
 03/13/2018, YOU BOUGHT, EKSO, EKSO BIONICS HLDGS INC COM NEW,Cash,100,1.7,4.95,,,-174.84, 03/15/2018
 03/13/2018, YOU BOUGHT, DXR, DAXOR CORP,Cash,100,5.26,4.95,,,-530.95, 03/15/2018
 03/13/2018, YOU BOUGHT, CNET, CHINANET ONLINE HOLDINGS INC COM USD0.0,Cash,100,2.48,4.95,,,-252.85, 03/15/2018
