Symbol(CUSIP),Security Description,Quantity,Date Acquired,Date Sold,Proceeds,Cost Basis,Short Term Gain/Loss,Long Term Gain/Loss,
GOOGL190315C1300(3794789QM),CALL (GOOGL) ALPHABET INC CAP STKMAR 15 19 $1300 (100 SHS),1,2/4/2019,2/4/2019,$202.30 ,$213.64 ,($11.34),-,
GOOGL190418C1360(4067859DZ),CALL (GOOGL) ALPHABET INC CAP STKAPR 18 19 $1360 (100 SHS),1,2/4/2019,2/5/2019,$236.30 ,$167.64 ,$68.66 ,-,
GOOGL190301C1165(4035979JJ),CALL (GOOGL) ALPHABET INC CAP STKMAR 01 19 $1165 (100 SHS),1,2/13/2019,2/15/2019,$996.82 ,$395.64 ,$601.18 ,-,
GOOGL190301C1165(4035979JJ),CALL (GOOGL) ALPHABET INC CAP STKMAR 01 19 $1165 (100 SHS),1,2/13/2019,2/19/2019,$996.82 ,$417.64 ,$579.18 ,-,
GOOGL190308C1150(4057879PL),CALL (GOOGL) ALPHABET INC CAP STKMAR 08 19 $1150 (100 SHS),1,2/19/2019,2/21/2019,"$1,102.34 ",$485.64 ,$616.70 ,-,
GOOGL190315C1160(3794809VP),CALL (GOOGL) ALPHABET INC CAP STKMAR 15 19 $1160 (100 SHS),1,2/20/2019,,"$1,080.29 ",$505.64 ,$574.65 ,-,
GOOGL(02079K305),ALPHABET INC CAP STKCL A,300,3/4/2019,3/1/2019,"$342,523.58 ","$347,529.84 ","($5,006.26)",-,
GOOGL190315C1135(3794799GG),CALL (GOOGL) ALPHABET INC CAP STKMAR 15 19 $1135 (100 SHS),1,2/4/2019,3/5/2019,"$4,043.02 ","$3,989.64 ",$53.38 ,-,
GOOGL190315C1135(3794799GG),CALL (GOOGL) ALPHABET INC CAP STKMAR 15 19 $1135 (100 SHS),1,2/6/2019,,"$4,043.02 ","$2,524.64 ","$1,518.38 ",-,
GOOGL190315C1135(3794799GG),CALL (GOOGL) ALPHABET INC CAP STKMAR 15 19 $1135 (100 SHS),1,2/20/2019,,"$4,043.02 ","$2,088.64 ","$1,954.38 ",-,
GOOGL190315C1135(3794799GG),CALL (GOOGL) ALPHABET INC CAP STKMAR 15 19 $1135 (100 SHS),1,2/27/2019,,"$4,043.02 ","$1,235.64 ","$2,807.38 ",-,
GOOGL190418C1200(4055989DZ),CALL (GOOGL) ALPHABET INC CAP STKAPR 18 19 $1200 (100 SHS),1,2/4/2019,3/6/2019,"$1,902.64 ","$2,648.64 ",($746.00),-,
GOOGL190418C1200(4055989DZ),CALL (GOOGL) ALPHABET INC CAP STKAPR 18 19 $1200 (100 SHS),1,2/21/2019,,"$1,902.64 ",$755.64 ,"$1,147.00 ",-,
GOOGL190418C1200(4055989DZ),CALL (GOOGL) ALPHABET INC CAP STKAPR 18 19 $1200 (100 SHS),1,2/27/2019,,"$1,902.63 ",$789.64 ,"$1,112.99 ",-,
